Messwert;mm
1023;153
1023;152
1013;151
1006;150
1002;149
996;148
989;147
980;146
975;145
970;144
963;143
957;142
949;141
941;140
934;139
927;138
921;137
915;136
907;135
901;134
893;133
886;132
880;131
873;130
867;129
859;128
854;127
843;126
837;125
828;124
823;123
818;122
807;121
801;120
788;119
788;118
782;117
778;116
773;115
764;114
754;113
751;112
743;111
731;110
728;109
724;108
719;107
707;106
703;105
699;104
692;103
684;102
675;101
663;100
662;99
651;98
647;97
639;96
630;95
625;94
623;93
611;92
602;91
599;90
596;89
581;88
579;87
574;86
568;85
560;84
553;83
549;82
541;81
532;80
527;79
516;78
511;77
491;76
495;75
488;74
483;73
478;72
466;71
465;70
460;69
445;68
442;67
435;66
425;65
418;64
415;63
404;62
402;61
388;60
388;59
383;58
375;57
367;56
356;55
349;54
338;53
338;52
328;51
323;50
318;49
306;48
301;47
297;46
292;45
282;44
276;43
266;42
263;41
250;40
249;39
245;38
237;37
228;36
220;35
212;34
202;33
194;32
189;31
180;30
174;29
169;28
161;27
156;26
150;25
136;24
136;23
124;22
121;21
118;20
109;19
104;18
97;17
90;16
83;15
73;14
68;13
63;12
55;11
45;10
41;9
34;8
25;7
19;6
6;5
1;4
0;3
0;2
0;1
0;0
